text,intent
What is the eligibility for BTech?,admission
Admission ke liye kya chahiye?,admission
How can I apply for undergraduate courses?,admission
Application form kab aayega?,admission
Direct admission ka kya process hai?,admission
Entrance exam is mandatory for admission?,admission
Admission portal link share kardo?,admission
What are the documents required for admission?,admission
Is there any management quota available?,admission
Lateral entry admission kaise hota hai?,admission
When is the last date to apply?,admission
Admission office kahan par hai?,admission
Online application fees kitni hai?,admission
Can I change my branch after admission?,admission
First year admission criteria kya hai?,admission
Cutoff list kab release hogi?,admission
Admission process step by step batao?,admission
Verification ke liye kab aana hai?,admission
I want to take admission in MBA?,admission
Foreign students ke liye admission rules?,admission
Provisional admission ka kya matlab hai?,admission
Diploma ke baad degree mein admission?,admission
Reporting time for new students?,admission
Admission cancel karne par refund milega?,admission
Waitlist candidates ka kya hoga?,admission
Is there an entrance test for BBA?,admission
Registration form kaise bhare?,admission
Required marks for admission in CSE?,admission
Gap year students admission le sakte hain?,admission
MTech admission eligibility criteria?,admission
Admission letter kab download hoga?,admission
Counseling schedule kya hai?,admission
Admission ke time original documents chahiye?,admission
Is there any age limit for admission?,admission
Distance learning admission available hai?,admission
PhD admission notification kab aayega?,admission
Selection list kahan check kare?,admission
Part time courses mein admission kaise le?,admission
NRI quota admission details please?,admission
Admission helpline number kya hai?,admission
Entrance score card upload karna hai?,admission
Transfer certificate mandatory hai admission ke liye?,admission
Medical certificate format for admission?,admission
Admission confirmation mail nahi aaya?,admission
Second round counseling kab shuru hogi?,admission
Document verification offline hoga ya online?,admission
Admission cell contact person name?,admission
Minimum percentage for general category?,admission
Seat allotment kab tak hogi?,admission
Can I apply for two courses together?,admission
UG courses registration process?,admission
BCA admission ke liye maths zaruri hai?,admission
Is there any interview for admission?,admission
How to check my application status?,admission
Admission process for sports quota?,admission
Defence quota seat available hai?,admission
Hostel admission process after college admission?,admission
What are the stream choices available?,admission
Can I edit my admission form after submission?,admission
Registration portal password bhul gaya?,admission
Admission test syllabus download link?,admission
Required 12th percentage for admission?,admission
Is there an orientation for new students?,admission
College visit for admission enquiry?,admission
Admission brochures available hain?,admission
MSc biotechnology admission details?,admission
How to apply for law courses?,admission
Is migration certificate mandatory for admission?,admission
Can I get admission based on JEE scores?,admission
CUET score accepted hai yahan?,admission
Admission form price kitna hai?,admission
Last date for lateral entry?,admission
Admission ke liye online payment issue?,admission
When will the physical reporting start?,admission
Is there an evening shift for classes?,admission
Vocational courses admission info?,admission
What is the duration of the admission process?,admission
Documents needed for masters admission?,admission
Can I apply without my final results?,admission
Admission window kab band hogi?,admission
Spot round admission kya hota hai?,admission
Are there any reserved seats for local students?,admission
Admission list mein naam kaise check kare?,admission
Registration fees non-refundable hai?,admission
Hostel admission and college admission separate hain?,admission
Which entrance exams are accepted?,admission
BPharm admission eligibility?,admission
Is there any age relaxation for SC/ST?,admission
How to apply for PhD entrance?,admission
What is the college code for admission?,admission
Admission portal mobile pe chalega?,admission
Can I submit documents via email?,admission
Online counseling process kya hai?,admission
When do classes start after admission?,admission
Admission confirmation status check?,admission
Do you have a waiting list for CSE?,admission
Is lateral entry available for Mechanical?,admission
Admission office extension number?,admission
Process for cancelling admission?,admission
What is the total fee for BTech?,fees
Fees kitni hai saal ki?,fees
How to pay fees online?,fees
Semester fees ki last date kya hai?,fees
Late fee fine kitna lagega?,fees
Can I pay my fees in installments?,fees
Installment facility available hai kya?,fees
Fees receipt kahan se download kare?,fees
Is there any hike in fees this year?,fees
Exam fees kab bharni hai?,fees
Exam fees portal link please?,fees
Hostel fees include hai kya total fees mein?,fees
Mess fees alag se deni hogi?,fees
What is the bus fee for the whole year?,fees
Refund policy for fees?,fees
Security deposit kab wapas milega?,fees
Admission cancel kiya toh fees refund hogi?,fees
Tuition fee waiver kaise milta hai?,fees
Scholarship ke baad kitni fees bachegi?,fees
Fine lagne par fees kahan bhare?,fees
Online payment options kya kya hain?,fees
Can I pay by demand draft?,fees
Cash payment allowed hai accounts office mein?,fees
Bank account details for fee transfer?,fees
Transaction failure ho gaya fees bharte waqt?,fees
Double payment ho gayi hai fees ki?,fees
Fee structure for MBA students?,fees
PhD ki research fee kitni hai?,fees
Library fine kaise check kare?,fees
Back paper ki fees kitni hai?,fees
Revaluation form ki fees?,fees
Is there any concession for siblings?,fees
Fees badhne wali hai kya agle saal?,fees
Management quota ki fees kitni hai?,fees
Miscellaneous charges kya kya hain?,fees
Activity fees ka breakdown chahiye?,fees
Identity card ki fees kitni hai?,fees
Documents courier karne ki fees?,fees
Provisional certificate ki fees?,fees
Convocation fees kitni deni hai?,fees
Duplicate ID card ki fees?,fees
Fee structure for lateral entry?,fees
Uniform ke liye kitne paise dene hain?,fees
Industrial visit ki extra fees hai?,fees
Late registration charges kitne hain?,fees
Check my fee dues for this sem?,fees
Is the fee same for NRI students?,fees
Sports quota students ko fee discount hai?,fees
Account office ki timings kya hai?,fees
Can I pay fees via UPI?,fees
Full course fee structure PDF?,fees
Bus fee refund process?,fees
Semester wise fee breakdown?,fees
What happens if I miss the fee deadline?,fees
Account department contact info?,fees
Hostel security deposit amount?,fees
Exam form late fee?,fees
Is there an extra fee for laboratories?,fees
Training and placement fee kitni hai?,fees
Caution money kab return hoti hai?,fees
Is GST included in college fees?,fees
How to apply for fee concession?,fees
Fees for official transcripts?,fees
Duplicate marksheet application fee?,fees
Alumni association registration fee?,fees
Re-admission fee kitni lagega?,fees
Can I pay fees through Credit Card?,fees
Net banking support for fee portal?,fees
Is the mess fee monthly or yearly?,fees
Any discount for full one-time payment?,fees
Fees for semester abroad program?,fees
Project submission fee hai kya?,fees
Waitlisted candidates fee payment?,fees
Can parents pay fees from their portal?,fees
Online fee transaction limit?,fees
Is there any hidden cost in fees?,fees
Fees for sports and gym facilities?,fees
Cultural fest registration fee?,fees
Extra-curricular activity charges?,fees
Course material fees include hai?,fees
Workshop registration charges?,fees
Parking fee for students?,fees
Insurance fee for students?,fees
Medical facility fees details?,fees
Duplicate degree certificate fee?,fees
Fine for late library book return?,fees
Internet and WiFi charges per sem?,fees
Is there any fee for WiFi?,fees
Degree certificate delivery charges?,fees
Verification fee for documents?,fees
Transcript charges per copy?,fees
When will the semester exams start?,exams
Exams kab se shuru ho rahe hain?,exams
Date sheet kab aayegi?,exams
Timetable for internal exams?,exams
Sessional exams ka schedule kya hai?,exams
Where can I check my results?,exams
Result kab tak announce hoga?,exams
Back paper exams kab honge?,exams
How to apply for revaluation?,exams
Rechecking ka kya process hai?,exams
Admit card kahan se download kare?,exams
Hall ticket kab milega?,exams
Exam center kahan hoga hamara?,exams
Pass hone ke liye kitne marks chahiye?,exams
What is the passing criteria for theory?,exams
Internal marks portal pe kab update honge?,exams
Absent lag gayi hai exam mein kya karun?,exams
Practical exams ka schedule chahiye?,exams
Lab exams kab conduct honge?,exams
Viva voce kab hoga sessional ka?,exams
Result portal login nahi ho raha?,exams
Marksheet kab milegi college se?,exams
Online exam hoga ya offline?,exams
Syllabus for end semester exams?,exams
Important questions for computer science exam?,exams
Carry over paper ka kya rule hai?,exams
Supplementary exams kab hote hain?,exams
Grace marks milte hain kya?,exams
CGPA kaise calculate hota hai?,exams
SGPA to percentage conversion formula?,exams
Improvement exam de sakte hain?,exams
Exam form kaise bhare online?,exams
Last date for exam form submission?,exams
Penalty for missing mid-sem exams?,exams
Unfair means case ka kya rule hai?,exams
Exam ke time ID card lana compulsory hai?,exams
Blue pen ya black pen allowed hai?,exams
Calculator allowed hai maths exam mein?,exams
Previous year question papers kahan milenge?,exams
Mock test link share kardo?,exams
External examiner kab aayenge practical ke liye?,exams
Re-exam ki date change ho sakti hai?,exams
Medical leave par exam miss ho gaya?,exams
End sem results portal pe kab aayenge?,exams
What if I fail in one subject?,exams
How many back papers are allowed?,exams
Consolidated marksheet kab milti hai?,exams
Degree completion ke liye kitne credits chahiye?,exams
Is there any weightage for internals?,exams
Exam pattern kya hoga is baar?,exams
When is the final viva?,exams
Check my result status?,exams
Internal assessment weightage?,exams
Open book exam rules?,exams
When will marksheet be sent to home?,exams
Exam timing for morning shift?,exams
Is there a gap between exams?,exams
How to apply for carryover?,exams
Exam center change request?,exams
Duplicate admit card process?,exams
Rules for objective type exams?,exams
Final year project exam date?,exams
Thesis submission deadline?,exams
Paper pattern for sessional 1?,exams
Is there negative marking in internals?,exams
Result correction procedure?,exams
What is a passing grade?,exams
Degree certificate delivery date?,exams
External viva components?,exams
Practical file submission last date?,exams
How to check CGPA online?,exams
Official result notification link?,exams
Semester result PDF download?,exams
Can I see my answer sheet?,exams
Photocopy of answer book request?,exams
Total marks in theory exam?,exams
Min marks to avoid back paper?,exams
Exam controller office location?,exams
Helpline for exam portal issues?,exams
Can I use a scientific calculator?,exams
Formula sheet allowed in exam?,exams
Dress code for exams?,exams
Reporting time at exam center?,exams
When is the re-exam for final year?,exams
Summer exam schedule?,exams
Winter sem exam dates?,exams
Is result out for BTech 3rd sem?,exams
How to calculate SGPA?,exams
What is the minimum attendance required?,attendance
Attendance kitni honi chahiye exams ke liye?,attendance
Is 75 percent attendance mandatory?,attendance
Attendance shortage hone par kya hoga?,attendance
How can I check my daily attendance?,attendance
Portal pe attendance show nahi ho rahi?,attendance
Attendance update kab hogi?,attendance
Can I get attendance for medical leave?,attendance
Medical certificate dene par attendance milegi?,attendance
Sports tournament ke liye attendance relax milegi?,attendance
Attendance kam hai toh admit card milega?,attendance
Teacher ne galat absent laga di hai?,attendance
Proxy attendance lagayi toh kya action hoga?,attendance
Subject wise attendance kahan dekhe?,attendance
Monthly attendance report kab aayegi?,attendance
What is the criteria for attendance award?,attendance
Lab mein attendance alag se count hoti hai?,attendance
Seminar attend karne par attendance milegi?,attendance
Industrial visit ki attendance count hogi?,attendance
Last month ki attendance missing hai?,attendance
HOD se attendance ki baat kaise kare?,attendance
Placement drive ke liye attendance milegi?,attendance
Late aane par attendance milti hai?,attendance
Total working days kitne hain sem mein?,attendance
Condonation form kab bharna hai?,attendance
Attendance calculation formula kya hai?,attendance
What if I have 74 percent attendance?,attendance
Attendance list notice board pe kab lagegi?,attendance
Parents ko attendance report bhejte hain?,attendance
Attendance portal password reset kaise kare?,attendance
Extra classes ki attendance count hogi?,attendance
NSS camp ki attendance ka kya process hai?,attendance
Can I see attendance of my friends?,attendance
How to maintain attendance above 80?,attendance
Teacher se attendance request kaise kare?,attendance
Attendance portal link not working?,attendance
Dean permission for attendance shortage?,attendance
Is attendance mandatory for final year?,attendance
Attendance criteria for scholarship?,attendance
Can I get attendance for internship?,attendance
Holiday ke din attendance lagti hai?,attendance
First period ki attendance miss ho gayi?,attendance
Lecture wise attendance tracking?,attendance
Automatic attendance system hai kya?,attendance
Bio-metric attendance machine not working?,attendance
Attendance register check karna hai?,attendance
Final attendance tally kab hogi?,attendance
Attendance warning letter kab aate hain?,attendance
Short attendance list download link?,attendance
Is attendance counted during fest?,attendance
Can I get attendance for college event?,attendance
Will my attendance increase if I attend workshop?,attendance
How to apply for duty leave?,attendance
Duty leave form kahan milega?,attendance
Can I check attendance of previous sem?,attendance
How many holidays are allowed?,attendance
Max leaves in a month?,attendance
What is the minimum attendance for practicals?,attendance
If I am sick, do I get attendance?,attendance
Hospital admission attendance benefit?,attendance
Medical board attendance review?,attendance
Will missing one class affect 75%?,attendance
Online class attendance record?,attendance
Webinar attendance count hogi?,attendance
Who updates attendance on portal?,attendance
How to rectify attendance error?,attendance
Attendance criteria for placement?,attendance
Is 100% attendance possible?,attendance
Attendance login credentials?,attendance
Mobile app for checking attendance?,attendance
SMS notification for low attendance?,attendance
Can I see my attendance percentage?,attendance
Total lectures conducted till now?,attendance
Missing attendance for elective subject?,attendance
Attendance for bridge courses?,attendance
Is attendance required for project work?,attendance
Final year attendance relaxation?,attendance
